"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2023","37,689.54","37,405.90","37,778.70","37,371.83","","0.81%"
"12/17/2023","37,385.97","37,323.65","37,641.30","37,075.82","","0.21%"
"12/10/2023","37,309.22","36,274.85","37,346.06","36,232.20","","2.93%"
"12/03/2023","36,247.74","36,039.24","36,296.20","36,012.18","","0.01%"
"11/26/2023","36,245.50","35,376.44","36,264.75","35,280.67","","2.42%"
"11/19/2023","35,390.57","34,928.27","35,399.04","34,907.98","","1.27%"
"11/12/2023","34,947.28","34,243.14","35,051.04","34,208.53","","1.94%"
"11/05/2023","34,283.10","34,085.31","34,309.76","33,861.00","","0.65%"
"10/29/2023","34,061.32","32,651.69","34,163.31","32,645.38","","5.07%"
"10/22/2023","32,418.05","32,995.76","33,271.99","32,328.80","","-2.14%"
"10/15/2023","33,127.21","33,863.01","34,147.19","33,119.50","","-1.61%"
"10/08/2023","33,670.36","33,289.42","33,956.98","33,253.96","","0.79%"
"10/01/2023","33,407.58","33,431.31","33,556.26","32,848.30","","-0.30%"
"09/24/2023","33,507.76","33,907.59","34,016.50","33,306.30","","-1.34%"
"09/17/2023","33,964.44","34,639.25","34,775.41","33,949.17","","-1.89%"
"09/10/2023","34,618.77","34,718.80","34,977.80","34,510.48","","0.12%"
"09/03/2023","34,577.28","34,824.39","34,869.60","34,291.75","","-0.75%"
"08/27/2023","34,838.01","34,441.64","35,067.27","34,441.64","","1.43%"
"08/20/2023","34,346.96","34,531.28","34,693.66","34,029.39","","-0.45%"
"08/13/2023","34,501.88","35,266.47","35,334.93","34,265.23","303.58M","-2.21%"
"08/06/2023","35,281.40","35,125.60","35,578.58","35,007.41","1.55B","0.62%"
"07/30/2023","35,065.62","35,465.97","35,679.13","35,033.76","1.50B","-1.11%"
"07/23/2023","35,459.29","35,230.79","35,645.35","35,216.58","1.66B","0.66%"
"07/16/2023","35,227.69","34,499.74","35,372.77","34,418.72","1.94B","2.08%"
"07/09/2023","34,509.03","33,705.68","34,592.26","33,705.68","1.50B","2.29%"
"07/02/2023","33,734.88","34,369.78","34,465.60","33,716.75","1.01B","-1.96%"
"06/25/2023","34,407.60","33,730.79","34,467.35","33,610.32","1.47B","2.02%"
"06/18/2023","33,727.43","34,206.66","34,206.66","33,646.49","1.33B","-1.67%"
"06/11/2023","34,299.12","33,906.80","34,588.68","33,783.55","1.95B","1.25%"
"06/04/2023","33,876.78","33,771.13","33,975.32","33,399.69","1.55B","0.34%"
"05/28/2023","33,762.76","33,103.65","33,805.00","32,704.51","1.76B","2.02%"
"05/21/2023","33,093.34","33,408.54","33,512.30","32,586.56","1.52B","-1.00%"
"05/14/2023","33,426.63","33,321.21","33,652.90","33,006.19","1.43B","0.38%"
"05/07/2023","33,300.62","33,715.15","33,772.09","33,110.61","1.28B","-1.11%"
"04/30/2023","33,674.38","34,116.81","34,257.83","32,937.50","1.45B","-1.24%"
"04/23/2023","34,098.16","33,805.04","34,104.56","33,235.85","1.59B","0.86%"
"04/16/2023","33,808.96","33,930.46","34,018.62","33,677.74","1.35B","-0.23%"
"04/09/2023","33,886.47","33,425.25","34,082.94","33,343.43","1.29B","1.20%"
"04/02/2023","33,485.29","33,245.78","33,634.72","33,245.78","1.15B","0.63%"
"03/26/2023","33,274.15","32,276.72","33,291.00","32,276.72","1.50B","3.22%"
"03/19/2023","32,237.53","31,872.33","32,761.89","31,805.18","1.71B","1.18%"
"03/12/2023","31,861.98","31,819.93","32,306.59","31,429.82","2.42B","-0.15%"
"03/05/2023","31,909.64","33,425.32","33,572.22","31,783.41","1.59B","-4.44%"
"02/26/2023","33,390.97","32,906.16","33,405.82","32,500.71","1.47B","1.75%"
"02/19/2023","32,816.92","33,699.69","33,699.69","32,643.48","1.24B","-2.99%"
"02/12/2023","33,826.69","33,887.39","34,331.47","33,517.73","1.49B","-0.13%"
"02/05/2023","33,869.27","33,874.44","34,252.57","33,591.99","1.62B","-0.17%"
"01/29/2023","33,926.01","33,909.21","34,334.70","33,581.42","1.94B","-0.15%"
"01/22/2023","33,978.08","33,439.56","34,164.33","33,273.21","1.79B","1.81%"
"01/15/2023","33,375.49","34,222.32","34,269.97","32,948.93","1.40B","-2.70%"
"01/08/2023","34,302.61","33,664.39","34,342.32","33,421.80","1.48B","2.00%"
"01/01/2023","33,630.61","33,148.90","33,710.66","32,812.33","1.45B","1.46%"
