"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","17,047.39","17,019.17","17,110.50","15,974.00","1.57B","0.03%"
"11/01/2023","17,042.88","17,139.40","18,174.69","16,863.05","42.52B","-0.41%"
"10/01/2023","17,112.48","17,546.39","18,290.91","16,879.66","40.12B","-3.91%"
"09/01/2023","17,809.66","18,592.53","18,899.49","17,352.83","39.87B","-3.11%"
"08/01/2023","18,382.06","20,211.20","20,331.28","17,573.70","68.00B","-8.45%"
"07/01/2023","20,078.94","19,002.55","20,361.03","18,279.73","49.94B","6.15%"
"06/01/2023","18,916.43","18,190.27","20,155.92","18,190.27","47.04B","3.74%"
"05/01/2023","18,234.27","20,122.90","20,321.74","18,044.86","53.30B","-8.35%"
"04/01/2023","19,894.57","20,379.50","20,864.74","19,520.97","40.64B","-2.48%"
"03/01/2023","20,400.11","19,849.97","21,005.66","18,829.11","62.86B","3.10%"
"02/01/2023","19,785.94","21,920.80","22,311.96","19,783.07","40.31B","-9.41%"
"01/01/2023","21,842.33","19,570.43","22,700.85","19,303.73","46.99B","10.42%"
"12/01/2022","19,781.41","19,058.90","20,099.77","18,530.82","57.62B","6.37%"
"11/01/2022","18,597.23","14,859.92","18,645.35","14,859.92","75.23B","26.62%"
"10/01/2022","14,687.02","17,050.25","18,164.20","14,597.31","45.82B","-14.72%"
"09/01/2022","17,222.83","19,761.72","19,839.51","17,016.28","42.07B","-13.69%"
"08/01/2022","19,954.39","20,026.60","20,283.59","19,189.54","40.16B","-1.00%"
"07/01/2022","20,156.51","21,690.68","22,198.51","20,050.05","37.73B","-7.79%"
"06/01/2022","21,859.79","21,407.79","22,449.31","20,697.17","51.40B","2.08%"
"05/01/2022","21,415.20","20,927.62","21,415.20","19,178.89","42.72B","1.54%"
"04/01/2022","21,089.39","21,693.10","22,523.64","19,665.49","39.46B","-4.13%"
"03/01/2022","21,996.85","22,739.84","22,937.56","18,235.48","71.31B","-3.15%"
"02/01/2022","22,713.02","24,392.86","25,050.59","22,406.12","36.90B","-4.58%"
"01/01/2022","23,802.26","23,510.54","24,982.03","22,709.60","41.54B","1.73%"
