"Name","Last","High","Low","Chg.","Chg. %","Time"
"Dow Jones","37,689.54","37,759.43","37,538.80","-20.56","-0.05%","29/12"
"S&P 500","4,769.83","4,788.43","4,751.99","-13.52","-0.28%","29/12"
"Nasdaq","15,011.35","15,111.41","14,955.37","-83.78","-0.56%","29/12"
"Small Cap 2000","2,027.07","2,056.62","2,027.07","-31.26","-1.52%","29/12"
"S&P 500 VIX","12.45","13.19","12.36","0.00","0.00%","29/12"
"S&P/TSX","20,958.44","20,965.89","20,860.31","29.06","0.14%","29/12"
"Bovespa","134,185","134,392","133,832","-8","-0.01%","28/12"
"S&P/BMV IPC","57,386.25","57,522.95","57,178.47","-78.17","-0.14%","29/12"
"DAX","16,751.64","16,758.53","16,726.97","50.09","0.30%","29/12"
"FTSE 100","7,733.24","7,746.91","7,719.02","10.50","0.14%","29/12"
"CAC 40","7,543.18","7,569.92","7,530.93","8.02","0.11%","29/12"
"Euro Stoxx 50","4,521.95","4,535.95","4,514.35","7.57","0.17%","29/12"
"AEX","786.82","790.98","785.96","-0.22","-0.03%","29/12"
"IBEX 35","10,102.10","10,143.60","10,090.90","15.90","0.16%","29/12"
"FTSE MIB","30,351.62","30,481.25","30,316.00","20.45","0.07%","29/12"
"SMI","11,137.79","11,143.59","11,085.70","80.24","0.73%","29/12"
"PSI","6,396.48","6,412.61","6,387.41","-4.09","-0.06%","29/12"
"BEL 20","3,707.60","3,716.20","3,692.50","1.60","0.04%","29/12"
"ATX","3,434.97","3,436.24","3,408.97","20.91","0.61%","29/12"
"OMXS30","2,396.07","2,403.19","2,390.87","7.06","0.30%","29/12"
"OMXC25","1,821.20","1,827.12","1,818.35","0.36","0.02%","29/12"
"MOEX","3,099.11","3,102.08","3,086.26","-2.88","-0.09%","29/12"
"RTSI","1,083.48","1,094.87","1,079.63","-7.45","-0.68%","29/12"
"WIG20","2,342.99","2,367.01","2,334.30","-13.33","-0.57%","29/12"
"Budapest SE","60,620.01","60,784.46","60,390.50","-119.45","-0.20%","29/12"
"BIST 100","7,470.18","7,510.36","7,415.27","73.84","1.00%","29/12"
"TA 35","1,865.31","1,865.31","1,850.66","11.58","0.62%","08:49:30"
"Tadawul All Share","11,967.39","11,982.06","11,934.45","35.47","0.30%","07:15:59"
"Nikkei 225","33,464.17","33,640.00","33,300.00","-149.62","-0.45%","29/12"
"S&P/ASX 200","7,590.80","7,614.30","7,576.70","-23.50","-0.31%","29/12"
"DJ New Zealand","324.84","326.40","324.62","-0.35","-0.11%","29/12"
"Shanghai","2,974.93","2,975.03","2,950.02","20.23","0.68%","29/12"
"SZSE Component","9,524.69","9,534.68","9,427.92","83.64","0.89%","29/12"
"China A50","11,503.58","11,534.89","11,432.16","39.68","0.35%","29/12"
"DJ Shanghai","414.42","414.42","411.00","2.80","0.68%","29/12"
"Hang Seng","17,023.00","17,102.50","16,947.00","-35.00","-0.21%","29/12"
"Taiwan Weighted","17,930.81","17,945.70","17,864.23","20.44","0.11%","29/12"
"SET","1,415.85","1,418.98","1,410.87","5.42","0.38%","28/12"
"KOSPI","2,655.28","2,655.28","2,611.72","41.78","1.60%","28/12"
"IDX Composite","7,272.80","7,309.78","7,259.68","-31.09","-0.43%","29/12"
"Nifty 50","21,731.40","21,770.30","21,676.90","-47.30","-0.22%","29/12"
"BSE Sensex","72,240.26","72,417.01","72,082.64","-170.12","-0.23%","29/12"
"PSEi Composite","6,450.04","6,523.83","6,450.04","-69.07","-1.06%","29/12"
"Karachi 100","62,379.41","62,644.38","61,807.54","327.18","0.53%","29/12"
"VN 30","1,131.46","1,136.02","1,130.09","2.95","0.26%","29/12"
"CSE All-Share","10,654.16","10,669.06","10,621.53","27.60","0.26%","29/12"
