"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2023","4,769.83","4,759.83","4,793.35","4,751.76","","0.32%"
"12/17/2023","4,754.63","4,728.93","4,778.14","4,697.33","","0.75%"
"12/10/2023","4,719.19","4,599.53","4,738.18","4,596.53","","2.49%"
"12/03/2023","4,604.37","4,558.38","4,609.18","4,546.31","","0.21%"
"11/26/2023","4,594.63","4,553.03","4,599.67","4,536.93","","0.77%"
"11/19/2023","4,559.34","4,511.75","4,568.88","4,510.88","","1.00%"
"11/12/2023","4,514.02","4,401.33","4,521.33","4,392.58","","2.24%"
"11/05/2023","4,415.24","4,366.63","4,418.03","4,343.91","","1.31%"
"10/29/2023","4,358.34","4,147.71","4,373.66","4,133.05","","5.85%"
"10/22/2023","4,117.37","4,206.30","4,259.49","4,103.49","","-2.53%"
"10/15/2023","4,224.16","4,351.28","4,393.73","4,222.38","","-2.39%"
"10/08/2023","4,327.78","4,288.38","4,386.00","4,283.82","","0.45%"
"10/01/2023","4,308.50","4,280.50","4,324.63","4,216.31","","0.48%"
"09/24/2023","4,288.05","4,309.13","4,338.84","4,238.53","","-0.74%"
"09/17/2023","4,320.06","4,447.13","4,466.28","4,316.43","","-2.93%"
"09/10/2023","4,450.32","4,486.88","4,511.72","4,447.26","","-0.16%"
"09/03/2023","4,457.49","4,512.88","4,514.60","4,429.79","","-1.29%"
"08/27/2023","4,515.77","4,429.68","4,540.16","4,414.67","","2.50%"
"08/20/2023","4,405.71","4,381.18","4,457.97","4,355.94","","0.82%"
"08/13/2023","4,369.71","4,459.63","4,490.01","4,337.77","","-2.11%"
"08/06/2023","4,464.05","4,499.88","4,525.88","4,443.13","","-0.31%"
"07/30/2023","4,478.03","4,586.38","4,594.13","4,475.17","","-2.27%"
"07/23/2023","4,582.23","4,549.52","4,606.00","4,529.17","","1.01%"
"07/16/2023","4,536.34","4,506.13","4,578.25","4,505.88","","0.69%"
"07/09/2023","4,505.42","4,395.38","4,527.81","4,390.13","","2.42%"
"07/02/2023","4,398.95","4,444.17","4,456.88","4,385.18","","-1.16%"
"06/25/2023","4,450.38","4,342.38","4,458.43","4,328.33","","2.35%"
"06/18/2023","4,348.33","4,389.88","4,400.20","4,341.22","","-1.39%"
"06/11/2023","4,409.59","4,311.50","4,447.00","4,304.20","","2.58%"
"06/04/2023","4,298.86","4,285.60","4,322.50","4,260.30","","0.39%"
"05/28/2023","4,282.37","4,225.23","4,290.80","4,166.20","","1.83%"
"05/21/2023","4,205.45","4,193.40","4,212.80","4,103.50","","0.32%"
"05/14/2023","4,191.98","4,129.80","4,212.99","4,109.90","","1.65%"
"05/07/2023","4,124.08","4,138.20","4,154.51","4,098.50","","-0.29%"
"04/30/2023","4,136.25","4,166.20","4,187.20","4,048.00","","-0.80%"
"04/23/2023","4,169.48","4,131.23","4,170.52","4,049.30","","0.87%"
"04/16/2023","4,133.52","4,135.80","4,169.53","4,113.80","","-0.10%"
"04/09/2023","4,137.64","4,078.38","4,162.69","4,071.13","","0.79%"
"04/02/2023","4,105.02","4,102.50","4,133.62","4,069.35","","-0.10%"
"03/26/2023","4,109.31","3,996.03","4,110.80","3,951.50","","3.48%"
"03/19/2023","3,970.99","3,923.38","4,040.03","3,906.70","","1.39%"
"03/12/2023","3,916.64","3,821.90","3,964.75","3,810.54","","1.43%"
"03/05/2023","3,861.59","4,054.18","4,078.60","3,845.20","","-4.55%"
"02/26/2023","4,045.64","4,005.60","4,048.61","3,926.71","","1.90%"
"02/19/2023","3,970.04","4,038.48","4,046.98","3,942.86","","-2.67%"
"02/12/2023","4,079.09","4,097.78","4,159.93","4,047.95","","-0.28%"
"02/05/2023","4,090.46","4,109.85","4,177.10","4,060.58","","-1.11%"
"01/29/2023","4,136.48","4,039.53","4,195.34","4,015.70","","1.62%"
"01/22/2023","4,070.56","3,980.60","4,094.32","3,949.00","","2.47%"
"01/15/2023","3,972.61","3,999.63","4,015.63","3,885.30","","-0.66%"
"01/08/2023","3,999.09","3,917.80","4,004.20","3,876.40","","2.67%"
"01/01/2023","3,895.08","3,858.38","3,907.00","3,793.67","","1.45%"
