"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","4,769.83","4,560.14","4,793.35","4,546.31","","4.42%"
"11/01/2023","4,567.78","4,203.62","4,588.00","4,196.92","","8.92%"
"10/01/2023","4,193.80","4,280.50","4,393.73","4,103.49","","-2.20%"
"09/01/2023","4,288.05","4,534.42","4,540.16","4,238.53","","-4.87%"
"08/01/2023","4,507.66","4,576.21","4,584.24","4,337.77","","-1.77%"
"07/01/2023","4,588.96","4,444.17","4,606.00","4,385.18","","3.11%"
"06/01/2023","4,450.38","4,183.84","4,458.43","4,171.00","","6.47%"
"05/01/2023","4,179.83","4,166.27","4,229.98","4,048.00","","0.25%"
"04/01/2023","4,169.48","4,102.50","4,170.52","4,049.30","","1.46%"
"03/01/2023","4,109.31","3,958.20","4,110.80","3,810.54","","3.51%"
"02/01/2023","3,970.15","4,063.85","4,195.34","3,942.86","","-2.61%"
"01/01/2023","4,076.60","3,858.38","4,094.32","3,793.67","","6.18%"
"12/01/2022","3,839.50","4,089.50","4,103.05","3,764.14","","-5.90%"
"11/01/2022","4,080.11","3,911.50","4,080.11","3,695.60","","5.38%"
"10/01/2022","3,871.98","3,624.07","3,906.05","3,490.00","","7.99%"
"09/01/2022","3,585.62","3,929.90","4,119.69","3,585.40","","-9.34%"
"08/01/2022","3,955.00","4,103.38","4,325.50","3,954.90","","-4.24%"
"07/01/2022","4,130.29","3,779.27","4,140.00","3,720.25","","9.11%"
"06/01/2022","3,785.38","4,156.10","4,177.60","3,636.82","","-8.39%"
"05/01/2022","4,132.15","4,132.70","4,307.90","3,810.50","","0.01%"
"04/01/2022","4,131.93","4,547.90","4,593.90","4,123.87","","-8.80%"
"03/01/2022","4,530.41","4,358.08","4,637.90","4,157.20","","3.58%"
"02/01/2022","4,373.79","4,521.35","4,595.10","4,114.50","","-3.14%"
"01/01/2022","4,515.55","4,781.00","4,817.88","4,221.54","","-5.26%"
