"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","9,524.69","9,434.58","9,534.68","9,427.92","114.91K","0.89%"
"12/28/2023","9,441.05","9,182.85","9,469.87","9,169.25","126.07K","2.71%"
"12/27/2023","9,191.74","9,170.25","9,211.33","9,121.17","88.13K","0.38%"
"12/26/2023","9,157.25","9,248.07","9,248.49","9,124.81","77.79K","-1.07%"
"12/25/2023","9,256.28","9,200.65","9,268.27","9,200.65","80.15K","0.38%"
"12/22/2023","9,221.31","9,247.08","9,331.12","9,194.40","108.56K","-0.39%"
"12/21/2023","9,257.09","9,122.41","9,285.48","9,106.33","93.48K","1.08%"
"12/20/2023","9,158.44","9,303.08","9,310.20","9,158.44","82.48K","-1.41%"
"12/19/2023","9,289.34","9,267.83","9,331.99","9,225.01","78.84K","0.11%"
"12/18/2023","9,279.39","9,346.95","9,376.08","9,258.96","84.51K","-1.13%"
"12/15/2023","9,385.33","9,449.89","9,507.43","9,368.47","95.98K","-0.35%"
"12/14/2023","9,417.97","9,527.42","9,578.60","9,413.81","91.23K","-0.62%"
"12/13/2023","9,476.62","9,606.48","9,606.48","9,476.62","92.35K","-1.54%"
"12/12/2023","9,625.26","9,616.13","9,648.77","9,593.35","100.74K","-0.08%"
"12/11/2023","9,632.61","9,496.46","9,649.87","9,406.70","132.97K","0.82%"
"12/08/2023","9,553.92","9,531.05","9,592.92","9,501.76","128.52K","0.36%"
"12/07/2023","9,519.91","9,477.65","9,561.14","9,463.54","104.08K","-0.14%"
"12/06/2023","9,533.25","9,451.16","9,599.26","9,446.91","109.49K","0.66%"
"12/05/2023","9,470.36","9,593.58","9,625.50","9,470.36","104.47K","-1.97%"
"12/04/2023","9,660.44","9,679.96","9,736.11","9,660.44","112.33K","-0.62%"
"12/01/2023","9,720.57","9,723.93","9,751.77","9,633.77","112.60K","-0.07%"
"11/30/2023","9,726.92","9,728.38","9,760.52","9,677.77","93.75K","-0.18%"
"11/29/2023","9,744.39","9,826.01","9,827.23","9,742.22","100.38K","-0.91%"
"11/28/2023","9,833.46","9,781.54","9,834.95","9,742.00","94.63K","0.49%"
"11/27/2023","9,785.57","9,829.55","9,829.55","9,736.78","97.05K","-0.55%"
"11/24/2023","9,839.52","9,932.97","9,932.97","9,816.56","98.71K","-0.94%"
"11/23/2023","9,933.02","9,846.68","9,938.84","9,814.17","104.15K","0.78%"
"11/22/2023","9,855.66","9,959.78","9,970.52","9,855.66","110.44K","-1.41%"
"11/21/2023","9,997.09","10,050.48","10,112.68","9,981.11","123.45K","-0.26%"
"11/20/2023","10,022.70","9,986.92","10,050.83","9,924.44","11.18B","0.43%"
"11/17/2023","9,979.69","9,924.16","9,980.38","9,921.22","94.20K","0.25%"
"11/16/2023","9,954.40","10,053.80","10,064.91","9,954.40","95.91K","-1.23%"
"11/15/2023","10,077.96","10,111.83","10,122.20","10,048.46","122.58K","0.72%"
