"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","9,524.69","9,723.93","9,751.77","9,106.33","11.49B","-2.08%"
"11/01/2023","9,726.92","9,897.93","10,122.20","9,677.77","242.01B","-1.39%"
"10/01/2023","9,863.80","10,095.71","10,174.23","9,373.76","188.14B","-2.43%"
"09/01/2023","10,109.53","10,449.60","10,611.74","9,962.94","174.04B","-2.96%"
"08/01/2023","10,418.21","11,168.50","11,305.50","10,091.86","254.07B","-6.85%"
"07/01/2023","11,183.91","11,059.31","11,289.16","10,730.94","229.45B","1.43%"
"06/01/2023","11,026.59","10,758.89","11,338.15","10,648.14","243.71B","2.16%"
"05/01/2023","10,793.85","11,310.35","11,329.00","10,697.87","266.91B","-4.80%"
"04/01/2023","11,338.67","11,751.68","11,992.32","11,034.18","303.46B","-3.31%"
"03/01/2023","11,726.40","11,783.76","11,931.10","11,223.10","304.17B","-0.49%"
"02/01/2023","11,783.80","12,034.88","12,208.88","11,666.37","254.09B","-1.81%"
"01/01/2023","12,001.26","11,003.05","12,246.01","10,921.42","179.86B","8.94%"
"12/01/2022","11,015.99","11,282.46","11,511.32","10,794.14","226.87B","-0.83%"
"11/01/2022","11,108.50","10,420.95","11,385.87","10,395.56","286.69B","6.84%"
"10/01/2022","10,397.04","10,788.69","11,270.48","10,301.71","176.03B","-3.54%"
"09/01/2022","10,778.61","11,789.82","11,966.17","10,777.91","213.00B","-8.78%"
"08/01/2022","11,815.79","12,243.33","12,611.49","11,743.69","312.95B","-3.68%"
"07/01/2022","12,266.92","12,899.47","13,121.39","12,245.21","302.79B","-4.88%"
"06/01/2022","12,896.20","11,507.49","13,001.54","11,467.86","346.64B","11.87%"
"05/01/2022","11,527.62","10,928.68","11,543.18","10,560.78","247.42B","4.59%"
"04/01/2022","11,021.44","12,040.01","12,275.08","10,087.53","271.06B","-9.05%"
"03/01/2022","12,118.25","13,493.28","13,517.25","11,331.23","326.36B","-9.94%"
"02/01/2022","13,455.73","13,558.94","13,632.45","13,049.45","213.10B","0.96%"
"01/01/2022","13,328.06","14,935.23","14,941.19","13,227.83","296.60B","-10.29%"
