"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2023","9,524.69","9,524.69","9,524.69","9,524.69","","0.00%"
"12/24/2023","9,524.69","9,200.65","9,534.68","9,121.17","48.71B","3.29%"
"12/17/2023","9,221.31","9,346.95","9,376.67","9,106.15","44.79B","-1.75%"
"12/10/2023","9,385.33","9,496.46","9,649.87","9,368.47","51.33B","-1.76%"
"12/03/2023","9,553.92","9,715.47","9,736.11","9,446.88","55.89B","-1.71%"
"11/26/2023","9,720.57","9,829.55","9,835.14","9,624.92","49.84B","-1.21%"
"11/19/2023","9,839.52","9,986.92","10,113.19","9,814.17","54.86B","-1.40%"
"11/12/2023","9,979.69","10,012.85","10,122.20","9,914.48","52.51B","0.01%"
"11/05/2023","9,978.54","9,922.45","10,101.55","9,922.45","64.33B","1.27%"
"10/29/2023","9,853.89","9,759.22","9,952.43","9,733.39","57.75B","0.85%"
"10/22/2023","9,770.84","9,552.55","9,805.70","9,373.76","59.89B","2.09%"
"10/15/2023","9,570.36","10,065.07","10,065.97","9,554.63","50.92B","-4.95%"
"10/08/2023","10,068.28","10,095.71","10,174.23","9,991.17","51.32B","-0.41%"
"10/01/2023","10,109.53","10,109.53","10,109.53","10,109.53","","0.00%"
"09/24/2023","10,109.53","10,181.18","10,185.02","10,057.17","34.02B","-0.68%"
"09/17/2023","10,178.74","10,111.67","10,253.49","9,962.94","40.20B","0.34%"
"09/10/2023","10,144.59","10,290.81","10,443.00","10,115.28","42.76B","-1.34%"
"09/03/2023","10,281.88","10,520.46","10,611.74","10,233.71","47.54B","-1.74%"
"08/27/2023","10,463.74","10,714.69","10,714.69","10,200.85","66.73B","3.29%"
"08/20/2023","10,130.47","10,432.95","10,482.11","10,091.86","48.54B","-3.14%"
"08/13/2023","10,458.51","10,697.81","10,780.52","10,458.51","45.28B","-3.24%"
"08/06/2023","10,808.87","11,207.58","11,207.58","10,808.87","51.49B","-3.82%"
"07/30/2023","11,238.06","11,158.72","11,305.50","11,067.29","68.88B","1.24%"
"07/23/2023","11,100.40","10,771.64","11,120.59","10,730.94","57.62B","2.68%"
"07/16/2023","10,810.18","11,039.13","11,039.13","10,775.35","44.79B","-2.44%"
"07/09/2023","11,080.32","10,926.36","11,120.19","10,901.84","53.67B","1.76%"
"07/02/2023","10,888.55","11,059.31","11,133.45","10,852.96","56.03B","-1.25%"
"06/25/2023","11,026.59","10,963.62","11,067.39","10,792.35","56.73B","-0.29%"
"06/18/2023","11,058.63","11,305.79","11,338.15","11,058.63","37.49B","-2.19%"
"06/11/2023","11,306.53","10,769.02","11,316.24","10,752.01","63.72B","4.75%"
"06/04/2023","10,793.93","10,990.73","10,990.73","10,648.14","59.06B","-1.86%"
"05/28/2023","10,998.08","10,942.67","11,012.55","10,697.87","67.64B","0.81%"
"05/21/2023","10,909.65","11,083.38","11,159.31","10,798.65","54.67B","-1.64%"
"05/14/2023","11,091.36","11,019.70","11,182.36","10,995.70","59.05B","0.78%"
"05/07/2023","11,005.64","11,206.33","11,265.33","11,004.26","76.63B","-1.57%"
"04/30/2023","11,180.87","11,310.35","11,329.00","11,124.91","35.64B","-1.39%"
"04/23/2023","11,338.67","11,442.38","11,452.91","11,034.18","80.20B","-0.98%"
"04/16/2023","11,450.43","11,783.68","11,891.11","11,450.13","77.35B","-2.96%"
"04/09/2023","11,800.09","11,987.68","11,992.32","11,727.89","77.49B","-1.40%"
"04/02/2023","11,967.74","11,751.68","11,979.59","11,751.68","68.42B","2.06%"
"03/26/2023","11,726.40","11,621.92","11,737.28","11,505.55","73.34B","0.79%"
"03/19/2023","11,634.22","11,289.96","11,648.54","11,231.01","75.14B","3.16%"
"03/12/2023","11,278.05","11,405.14","11,537.72","11,223.10","62.96B","-1.44%"
"03/05/2023","11,442.54","11,850.82","11,862.37","11,437.99","55.65B","-3.45%"
"02/26/2023","11,851.92","11,728.09","11,931.10","11,666.37","57.11B","0.55%"
"02/19/2023","11,787.45","11,717.68","12,005.00","11,681.53","62.22B","0.61%"
"02/12/2023","11,715.77","11,964.75","12,163.97","11,713.80","72.39B","-2.18%"
"02/05/2023","11,976.85","11,957.27","12,062.16","11,811.98","58.42B","-0.64%"
"01/29/2023","12,054.29","12,229.38","12,246.01","11,904.28","70.22B","0.61%"
"01/15/2023","11,980.62","11,612.36","11,997.53","11,612.36","55.28B","3.26%"
"01/08/2023","11,602.30","11,411.37","11,602.30","11,408.67","51.05B","2.06%"
"01/01/2023","11,367.73","11,003.05","11,443.45","10,921.42","44.34B","3.19%"
