"Date","Price","Open","High","Low","Vol.","Change %"
"12/24/2023","2,974.93","2,909.88","2,975.03","2,890.17","133.57B","2.06%"
"12/17/2023","2,914.78","2,936.58","2,951.15","2,882.02","140.37B","-0.94%"
"12/10/2023","2,942.56","2,956.29","3,003.75","2,930.42","149.14B","-0.91%"
"12/03/2023","2,969.56","3,033.30","3,038.98","2,949.14","154.16B","-2.05%"
"11/26/2023","3,031.64","3,038.19","3,039.69","3,010.23","142.64B","-0.31%"
"11/19/2023","3,040.97","3,056.93","3,089.77","3,034.30","147.17B","-0.44%"
"11/12/2023","3,054.37","3,044.03","3,080.13","3,028.17","142.82B","0.51%"
"11/05/2023","3,038.97","3,047.13","3,064.58","3,027.09","163.67B","0.27%"
"10/29/2023","3,030.80","3,009.61","3,040.98","3,002.35","149.79B","0.43%"
"10/22/2023","3,017.78","2,969.79","3,029.21","2,923.51","153.59B","1.16%"
"10/15/2023","2,983.06","3,091.06","3,091.13","2,977.17","136.27B","-3.40%"
"10/08/2023","3,088.10","3,100.00","3,109.99","3,071.94","130.96B","-0.72%"
"09/24/2023","3,110.48","3,131.21","3,131.21","3,102.27","95.75B","-0.70%"
"09/17/2023","3,132.43","3,110.44","3,132.56","3,078.80","125.59B","0.47%"
"09/10/2023","3,117.74","3,119.61","3,155.10","3,106.97","133.08B","0.03%"
"09/03/2023","3,116.72","3,145.94","3,177.06","3,104.67","142.48B","-0.53%"
"08/27/2023","3,133.25","3,219.04","3,219.04","3,089.12","183.78B","2.26%"
"08/20/2023","3,064.07","3,125.99","3,134.96","3,053.04","144.07B","-2.17%"
"08/13/2023","3,131.95","3,159.71","3,186.23","3,123.25","144.39B","-1.80%"
"08/06/2023","3,189.25","3,276.78","3,276.78","3,189.25","156.56B","-3.01%"
"07/30/2023","3,288.08","3,287.21","3,322.13","3,247.27","217.99B","0.37%"
"07/23/2023","3,275.93","3,157.47","3,280.28","3,151.13","162.06B","3.42%"
"07/16/2023","3,167.75","3,219.02","3,219.02","3,157.33","116.69B","-2.16%"
"07/09/2023","3,237.70","3,208.73","3,248.39","3,192.66","128.55B","1.29%"
"07/02/2023","3,196.61","3,209.16","3,246.96","3,189.21","135.74B","-0.17%"
"06/25/2023","3,202.06","3,177.23","3,212.99","3,144.25","138.77B","0.13%"
"06/18/2023","3,197.90","3,271.16","3,271.16","3,197.90","92.04B","-2.30%"
"06/11/2023","3,273.33","3,225.30","3,276.55","3,210.71","153.75B","1.30%"
"06/04/2023","3,231.41","3,231.81","3,247.35","3,180.54","145.21B","0.04%"
"05/28/2023","3,230.07","3,219.76","3,233.99","3,186.63","150.25B","0.55%"
"05/21/2023","3,212.50","3,278.60","3,308.53","3,168.57","138.32B","-2.16%"
"05/14/2023","3,283.54","3,269.88","3,317.90","3,235.87","159.16B","0.34%"
"05/07/2023","3,272.36","3,340.99","3,418.95","3,271.43","226.04B","-1.86%"
"04/30/2023","3,334.50","3,306.48","3,364.14","3,302.03","91.99B","0.34%"
"04/23/2023","3,323.27","3,300.81","3,324.88","3,229.45","183.62B","0.67%"
"04/16/2023","3,301.26","3,337.06","3,396.17","3,301.26","183.51B","-1.11%"
"04/09/2023","3,338.15","3,331.51","3,340.08","3,298.25","169.06B","0.32%"
"04/02/2023","3,327.65","3,277.34","3,328.85","3,276.42","135.37B","1.67%"
"03/26/2023","3,272.86","3,261.82","3,278.42","3,220.98","151.40B","0.22%"
"03/19/2023","3,265.65","3,253.93","3,286.65","3,231.65","161.58B","0.46%"
"03/12/2023","3,250.55","3,228.12","3,279.92","3,216.99","159.04B","0.63%"
"03/05/2023","3,230.08","3,332.02","3,342.86","3,229.50","153.61B","-2.95%"
"02/26/2023","3,328.39","3,257.00","3,330.60","3,246.14","148.54B","1.87%"
"02/19/2023","3,267.16","3,230.47","3,308.79","3,225.84","140.14B","1.34%"
"02/12/2023","3,224.02","3,256.99","3,308.83","3,223.26","149.74B","-1.12%"
"02/05/2023","3,260.67","3,244.70","3,270.38","3,225.77","126.79B","-0.08%"
"01/29/2023","3,263.41","3,308.87","3,310.49","3,235.35","161.97B","-0.04%"
"01/15/2023","3,264.81","3,198.52","3,267.06","3,197.32","124.51B","2.18%"
"01/08/2023","3,195.31","3,169.37","3,195.31","3,153.40","116.57B","1.19%"
"01/01/2023","3,157.64","3,087.51","3,170.74","3,073.05","106.91B","2.21%"
