"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","2,974.93","3,027.35","3,038.98","2,882.02","29.07B","-1.81%"
"11/01/2023","3,029.67","3,038.18","3,089.77","3,009.12","649.43B","0.36%"
"10/01/2023","3,018.77","3,100.00","3,109.99","2,923.51","488.86B","-2.95%"
"09/01/2023","3,110.48","3,126.02","3,177.06","3,078.80","526.14B","-0.30%"
"08/01/2023","3,119.88","3,288.76","3,315.05","3,053.04","771.65B","-5.20%"
"07/01/2023","3,291.04","3,209.16","3,322.13","3,151.13","588.95B","2.78%"
"06/01/2023","3,202.06","3,196.15","3,276.55","3,144.25","590.47B","-0.08%"
"05/01/2023","3,204.56","3,306.48","3,418.95","3,168.57","705.06B","-3.57%"
"04/01/2023","3,323.27","3,277.34","3,396.17","3,229.45","671.56B","1.54%"
"03/01/2023","3,272.86","3,279.14","3,342.86","3,216.99","724.72B","-0.21%"
"02/01/2023","3,279.61","3,262.20","3,308.83","3,223.26","562.75B","0.74%"
"01/01/2023","3,255.67","3,087.51","3,310.49","3,073.05","413.34B","5.39%"
"12/01/2022","3,089.26","3,187.99","3,226.08","3,031.54","614.03B","-1.97%"
"11/01/2022","3,151.34","2,899.50","3,158.57","2,896.76","686.91B","8.91%"
"10/01/2022","2,893.48","3,026.94","3,099.92","2,885.09","413.86B","-4.33%"
"09/01/2022","3,024.39","3,196.54","3,278.17","3,021.93","549.02B","-5.55%"
"08/01/2022","3,202.14","3,246.62","3,296.00","3,155.19","705.00B","-1.57%"
"07/01/2022","3,253.24","3,400.26","3,424.84","3,226.23","688.09B","-4.28%"
"06/01/2022","3,398.62","3,179.69","3,417.01","3,160.04","873.94B","6.66%"
"05/01/2022","3,186.43","3,044.85","3,188.60","2,957.40","674.73B","4.57%"
"04/01/2022","3,047.06","3,234.67","3,290.26","2,863.65","747.79B","-6.31%"
"03/01/2022","3,252.20","3,471.36","3,500.29","3,023.30","870.20B","-6.07%"
"02/01/2022","3,462.31","3,407.76","3,500.15","3,390.46","537.73B","3.00%"
"01/01/2022","3,361.44","3,649.15","3,651.89","3,356.56","662.57B","-7.65%"
